color_strat_all,color_strat_green,color_strat_blue,color_strat_red,color_strat_yellow,color_strat_orange,color_strat_purple,color_strat_black,value_strat_pair,value_strat_single,value_strat_disparity,ruby_strat_save,ruby_strat_droplet,ruby_strat_flask,ruby_strat_balanced,flask_strat_three,flask_strat_risk,flask_strat_ruby,flask_strat_seventy,flask_strat_fifty,ex_prob_strat_high,ex_prob_strat_medium,ex_prob_strat_low,ex_prob_strat_very_low,ex_prob_strat_never,ex_round_strat_always,ex_round_strat_early,ex_round_strat_early_mid,ex_round_strat_mid,ex_round_strat_mid_late,ex_round_strat_late,exploded_strat_points,exploded_strat_money,exploded_strat_early,exploded_strat_mid,green-1,green-2,green-4,blue-1,blue-2,blue-4,red-1,red-2,red-4,yellow-1,yellow-2,yellow-4,orange-1,purple-1,black-1,green_count,blue_count,red_count,yellow_count,orange_count,purple_count,black_count,one_count,two_count,four_count,final_droplet_position,farthest_space_reached,explosion_count,player_a_vp,player_b_vp,margin,percent_dif,tie,player_a_won,run_id
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,3,2,3,1,4,0,0,3,2,3,12,1,0,9,28,2,32,39,-7,0.82,0,0,29
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,4,4,4,1,4,0,0,4,4,4,16,1,0,12,32,2,41,47,-6,0.88,0,0,30
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,5,4,4,1,4,0,0,5,4,4,16,2,0,12,34,1,47,34,13,1.37,0,1,31
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,6,4,4,1,4,0,0,6,4,4,18,1,0,11,30,2,39,25,14,1.54,0,1,32
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,0,0,0,0,0,0,4,3,4,1,5,0,0,4,3,4,16,1,0,11,27,1,35,38,-3,0.92,0,0,33
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,3,3,3,1,4,0,0,3,3,3,13,1,0,9,24,2,45,32,13,1.39,0,1,34
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,4,3,3,1,3,0,0,4,3,3,12,2,0,13,30,1,47,36,11,1.3,0,1,35
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,6,2,3,1,6,0,0,6,2,3,18,0,0,10,28,2,38,35,3,1.08,0,1,36
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,3,3,3,1,4,0,0,3,3,3,14,0,0,9,29,1,33,35,-2,0.94,0,0,37
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,4,3,3,1,3,0,0,4,3,3,13,1,0,8,23,0,35,25,10,1.38,0,1,38
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,4,4,4,1,4,0,0,4,4,4,16,1,0,13,32,2,39,20,19,1.9,0,1,39
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,2,0,0,0,0,0,0,0,4,3,3,1,5,0,0,4,3,3,14,2,0,8,30,0,41,31,10,1.31,0,1,40
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,6,3,3,1,5,0,0,6,3,3,18,0,0,7,21,0,33,31,2,1.06,0,1,41
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,5,3,3,1,5,0,0,5,3,3,17,0,0,8,25,2,29,32,-3,0.91,0,0,42
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,5,3,3,1,4,0,0,5,3,3,15,1,0,11,33,5,31,42,-11,0.74,0,0,43
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,4,4,4,1,4,0,0,4,4,4,16,1,0,14,31,3,42,25,17,1.65,0,1,44
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,3,3,3,1,4,0,0,3,3,3,13,1,0,8,26,1,42,43,-1,0.98,0,0,45
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,4,2,3,1,4,0,0,4,2,3,14,0,0,8,22,2,32,29,3,1.1,0,1,46
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,4,2,2,1,4,0,0,4,2,2,12,1,0,11,32,3,47,26,21,1.78,0,1,47
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,5,3,4,1,4,0,0,5,3,4,16,1,0,11,27,1,41,29,12,1.4,0,1,48
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,4,3,4,1,4,0,0,4,3,4,15,1,0,14,31,1,44,30,14,1.45,0,1,49
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,5,4,4,1,5,0,0,5,4,4,19,0,0,10,27,3,34,26,8,1.3,0,1,50
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,5,3,3,1,4,0,0,5,3,3,15,1,0,8,25,0,36,24,12,1.48,0,1,51
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,4,3,3,1,4,0,0,4,3,3,13,2,0,8,25,1,40,29,11,1.37,0,1,52
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,4,3,3,1,4,0,0,4,3,3,14,1,0,9,30,3,36,23,13,1.54,0,1,53
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,3,4,4,1,4,0,0,3,4,4,15,1,0,12,28,0,45,22,23,2,0,1,54
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,4,4,4,1,4,0,0,4,4,4,16,1,0,11,26,1,44,25,19,1.73,0,1,55
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,5,3,4,1,5,0,0,5,3,4,18,0,0,8,25,1,31,31,0,1,1,0,56
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,6,4,4,1,4,0,0,6,4,4,18,1,0,15,33,1,48,32,16,1.48,0,1,57
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,3,3,3,1,4,0,0,3,3,3,12,2,0,12,32,1,42,42,0,1,1,0,58
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,3,3,3,1,4,0,0,3,3,3,12,2,0,11,26,1,50,35,15,1.42,0,1,59
93,0,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,5,2,3,1,4,0,0,5,2,3,14,1,0,6,23,2,36,30,6,1.19,0,1,60
